name,index,neighbors
N01,0,N02(1.9)
N02,1,N01(1.9)|N03(2.0)|N04(1.8)
N03,2,N02(2.0)|N04(1.9)|W09(1.5)
N04,3,N02(1.8)|N03(1.9)|N05(1.6)
N05,4,N04(1.6)|N06(0.9)|N07(1.8)
N06,5,N05(0.9)
N07,6,N05(1.8)|N08(0.9)|N09(1.6)
N08,7,N07(0.9)
N09,8,N07(1.6)|N10(1.1)
N10,9,N09(1.1)|N11(2.0)
N11,10,N10(2.0)|N12(2.6)
N12,11,E01(2.6)|E02(1.6)|N11(2.6)
E01,12,E02(1.3)|N12(2.6)
E02,13,E01(1.3)|E03(1.4)|E04(1.4)|N12(1.6)
E03,14,E02(1.4)
E04,15,E02(1.4)|E05(1.4)|E06(2.0)|E07(1.0)
E05,16,E04(1.4)|E06(3.1)|E07(2.2)|E09(1.5)
E06,17,E04(2.0)|E05(3.1)|E07(2.2)
E07,18,E04(1.0)|E05(2.2)|E06(2.2)|E08(1.0)
E08,19,E07(1.0)|E10(2.8)|E11(3.0)|E12(2.2)|E13(2.7)
E09,20,E05(1.5)|E10(1.7)
E10,21,E08(2.8)|E09(1.7)|E11(3.3)|E12(2.7)|E13(2.0)
E11,22,E08(3.0)|E10(3.3)|E12(1.9)|E14(2.7)
E12,23,E08(2.2)|E10(2.7)|E11(1.9)|E13(2.4)|E14(2.0)|E15(1.7)
E13,24,E08(2.7)|E10(2.0)|E12(2.4)|E14(3.0)|E15(2.8)
E14,25,E11(2.7)|E12(2.0)|E13(3.0)|E15(2.2)|S01(2.1)
E15,26,E12(1.7)|E13(2.8)|E14(2.2)|S01(2.5)
S01,27,E14(2.1)|E15(2.5)|S02(1.4)|S03(1.7)|S04(1.3)
S02,28,S01(1.4)|S03(3.2)
S03,29,S01(1.7)|S02(3.2)|S04(3.0)
S04,30,S01(1.3)|S03(3.0)|S05(1.8)
S05,31,S04(1.8)|S06(0.8)|S07(1.6)
S06,32,S05(0.8)|S07(2.2)
S07,33,S05(1.6)|S06(2.2)|S08(1.4)
S08,34,S07(1.4)|S09(1.1)
S09,35,S08(1.1)|S10(1.5)|S11(1.1)
S10,36,S09(1.5)|S11(2.5)
S11,37,S09(1.1)|S10(2.5)|S12(1.7)
S12,38,S11(1.7)|S13(1.3)
S13,39,S12(1.3)|S14(1.5)
S14,40,S13(1.5)|S15(1.7)
S15,41,S14(1.7)|S16(2.3)|S17(1.5)|W01(0.8)
S16,42,S15(2.3)|S17(2.3)
S17,43,S15(1.5)|S16(2.3)|S18(1.6)
S18,44,S17(1.6)
W01,45,S15(0.8)|W02(2.1)
W02,46,W01(2.1)|W03(1.0)
W03,47,W02(1.0)|W04(1.7)|W06(0.9)
W04,48,W03(1.7)|W05(1.7)
W05,49,W04(1.7)
W06,50,W03(0.9)|W07(2.5)
W07,51,W06(2.5)|W08(1.8)
W08,52,W07(1.8)|W09(1.8)
W09,53,N03(1.5)|W08(1.8)